Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
salesforce,$98.84 B,$95.20 B,$66.30 B,$55.12 B,$30.73 B,$21.00 B,$17.58 B,$12.76 B,$10.69 B,$9.15 B,$5.52 B,$4.16 B,$3.09 B,$2.46 B,$1.47 B,$1.08 B,$0.66 B,$0.43 B,$0.28 B,$87.51 M,$39.67 M,$29.71 M,$37.04 M
roche,,$95.42 B,$101.03 B,$97.70 B,$85.78 B,$79.82 B,$78.74 B,$75.40 B,$76.68 B,$76.51 B,$70.07 B,$71.01 B,$65.63 B,$65.29 B,$72.09 B,$72.95 B,$69.06 B,$61.16 B,$52.71 B,$50.92 B,$48.10 B,$72.73 B,$85.56 B
pepsico,,$92.18 B,$92.37 B,$92.91 B,$78.54 B,$77.64 B,$79.80 B,$74.12 B,$69.66 B,$70.50 B,$77.47 B,$74.63 B,$72.88 B,$68.15 B,$39.84 B,$35.99 B,$34.62 B,$29.93 B,$31.72 B,$27.98 B,$25.32 B,$23.47 B,$21.69 B
hermes-international,,$18.69 B,$15.68 B,$13.59 B,$11.06 B,$8.54 B,$8.12 B,$6.31 B,$5.67 B,$5.79 B,$5.43 B,$4.50 B,$4.20 B,$3.88 B,$3.49 B,$3.25 B,$3.01 B,$2.57 B,$2.23 B,$2.35 B,$2.04 B,$1.68 B,$1.58 B
icbc,,$5.743 T,$5.519 T,$5.112 T,$4.310 T,$4.027 T,$4.009 T,$3.476 T,$3.426 T,$3.328 T,$3.125 T,$2.813 T,$2.462 T,$2.035 T,$1.725 T,$1.432 T,$1.190 T,$961.96 B,$800.33 B,$613.66 B,$551.61 B,$577.11 B,
accenture,$51.24 B,$47.26 B,$43.17 B,$37.07 B,$29.78 B,$24.44 B,$22.68 B,$20.62 B,$18.26 B,$17.93 B,$16.86 B,$16.66 B,$15.73 B,$12.83 B,$12.25 B,$12.39 B,$10.74 B,$9.41 B,$8.95 B,$7.98 B,$6.45 B,$5.47 B,$6.06 B
shell,,$443.02 B,$404.38 B,$379.26 B,$404.33 B,$399.19 B,$407.09 B,$411.27 B,$340.15 B,$353.29 B,$357.51 B,$360.32 B,$345.25 B,$322.56 B,$292.18 B,$282.40 B,$269.47 B,$235.27 B,$219.51 B,$187.44 B,$168.09 B,$153.45 B,$111.54 B
mcdonald,,$50.43 B,$53.60 B,$52.62 B,$47.51 B,$32.81 B,$33.80 B,$31.02 B,$37.93 B,$34.28 B,$36.62 B,$35.38 B,$32.98 B,$31.97 B,$30.22 B,$28.46 B,$29.39 B,$29.02 B,$29.98 B,$27.83 B,$25.52 B,$23.97 B,$22.53 B
amd,,$67.58 B,$12.41 B,$8.96 B,$6.02 B,$4.55 B,$3.54 B,$3.32 B,$3.10 B,$3.76 B,$4.33 B,$4.00 B,$4.95 B,$4.96 B,$9.07 B,$7.67 B,$11.55 B,$13.14 B,$7.28 B,$7.84 B,$7.09 B,$5.61 B,$5.64 B
reliance-industries,$208.70 B,$197.77 B,$179.89 B,$154.63 B,$144.37 B,$125.38 B,$109.09 B,$91.34 B,$80.70 B,$71.66 B,$66.75 B,$64.32 B,$68.93 B,$57.91 B,$48.45 B,$43.86 B,$30.69 B,$21.75 B,$18.64 B,,,,
