Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
astrazeneca,,$6.40 B,$6.39 B,$7.99 B,$6.21 B,$5.68 B,$4.55 B,$5.90 B,$6.85 B,$7.15 B,$10.01 B,$8.52 B,$11.81 B,$12.55 B,$11.42 B,$4.39 B,$6.04 B,$7.76 B,$6.60 B,$5.26 B,$3.95 B,$4.69 B,$5.46 B
cisco,$26.14 B,$19.26 B,$24.51 B,$29.41 B,$33.41 B,$46.54 B,$70.49 B,$65.75 B,$60.41 B,$52.07 B,$50.61 B,$48.71 B,$44.58 B,$39.86 B,$35.00 B,$26.23 B,$22.26 B,$17.81 B,$6.96 B,$8.66 B,$8.48 B,$12.65 B,$6.90 B
linde,,$5.43 B,$2.82 B,$3.75 B,$2.70 B,$4.46 B,$0.61 B,$0.52 B,$0.14 B,$0.12 B,$0.13 B,$0.15 B,$90 M,$39 M,$45 M,$32 M,$17 M,$36 M,$0.17 B,$25 M,$50 M,$39 M,$39 M
thermo-fisher-scientific,,$8.52 B,$4.47 B,$10.32 B,$2.39 B,$2.10 B,$1.33 B,$0.78 B,$0.45 B,$1.35 B,$5.83 B,$0.85 B,$1.02 B,$0.92 B,$1.57 B,$1.28 B,$0.63 B,$0.69 B,$0.29 B,$0.51 B,$0.41 B,$0.87 B,$1.04 B
sap,,$10.56 B,$13.20 B,$8.54 B,$6.28 B,$10.38 B,$6.00 B,$5.08 B,$3.75 B,$4.87 B,$3.84 B,$3.47 B,$7.49 B,$4.88 B,$3.27 B,$2.31 B,$3.22 B,$4.40 B,$4.04 B,$4.34 B,$1.68 B,$1.23 B,$1.03 B
alibaba,$76.33 B,$71.70 B,$73.57 B,$51.16 B,$30.27 B,$33.46 B,$21.89 B,$17.92 B,$20.33 B,$7.26 B,$5.35 B,$3.54 B,$1.85 B,$1.52 B,$1.06 B,$0.97 B,$0.72 B,$0.19 B,,,,,
pinduoduo,,$21.66 B,$14.58 B,$13.33 B,$5.87 B,$3.16 B,$0.47 B,$0.23 B,,,,,,,,,,,,,,,
abbott-laboratories,,$10.17 B,$10.24 B,$7.14 B,$4.14 B,$4.08 B,$9.61 B,$18.77 B,$6.12 B,$4.46 B,$8.09 B,$15.17 B,$8.09 B,$5.45 B,$9.93 B,$5.07 B,$2.82 B,$1.37 B,$2.95 B,$2.05 B,$1.28 B,$0.96 B,$0.71 B
t-mobile-us,,$4.50 B,$6.63 B,$10.38 B,$1.52 B,$1.20 B,$1.21 B,$5.50 B,$7.58 B,$5.31 B,$5.89 B,$2.61 B,$2.24 B,$1.17 B,$1.15 B,$0.69 B,$1.47 B,$0.55 B,$0.50 B,,$0.25 B,,$42.66 M
intel,,$28.33 B,$28.41 B,$23.89 B,$13.12 B,$11.65 B,$14.00 B,$17.09 B,$25.31 B,$14.05 B,$20.08 B,$18.16 B,$10.24 B,$16.79 B,$9.27 B,$8.68 B,$12.79 B,$10.00 B,$12.77 B,$17.17 B,$16.16 B,$12.58 B,$11.55 B
nike,$10.67 B,$12.99 B,$13.47 B,$8.78 B,$4.66 B,$5.24 B,$6.17 B,$5.45 B,$5.92 B,$5.14 B,$5.96 B,$3.75 B,$4.53 B,$5.14 B,$3.45 B,$2.77 B,$2.84 B,$2.30 B,$1.82 B,$1.22 B,$0.63 B,$0.57 B,$0.30 B
china-mobile,,$48.10 B,$78.44 B,$69.25 B,$60.26 B,$61.88 B,$71.57 B,$65.90 B,$65.16 B,$67.96 B,$69.38 B,$64.62 B,$52.97 B,$44.21 B,$38.72 B,$32.03 B,$25.84 B,$19.65 B,$13.18 B,$7.91 B,$6.81 B,$5.27 B,$4.44 B
agricultural-bank-of-china,,,$483.88 B,$537.51 B,$499.43 B,$507.20 B,$547.84 B,$181.84 B,$191.79 B,$161.50 B,$119.88 B,$77.88 B,$54.82 B,$26.20 B,$16.26 B,$15.72 B,$9.45 B,$91.33 B,$59.33 B,$52.95 B,,,
walt-disney,$14.18 B,$11.61 B,$15.95 B,$17.91 B,$5.41 B,$4.15 B,$4.01 B,$4.61 B,$4.26 B,$3.42 B,$3.93 B,$3.38 B,$3.18 B,$2.72 B,$3.41 B,$3.00 B,$3.67 B,$2.41 B,$1.72 B,$2.04 B,$1.58 B,$1.23 B,$0.61 B
petro-china,,$33.82 B,$26.28 B,$22.37 B,$15.84 B,$13.83 B,$20.92 B,$14.20 B,$11.37 B,$12.27 B,$9.45 B,$7.41 B,$9.79 B,$7.36 B,$12.73 B,$6.36 B,$11.45 B,$6.59 B,$10.24 B,$1.53 B,$1.67 B,$1.52 B,$1.37 B
comcast,,$4.74 B,$8.71 B,$11.74 B,$5.50 B,$3.81 B,$3.42 B,$3.30 B,$2.40 B,$4.51 B,$5.29 B,$12.41 B,$1.62 B,$6.06 B,$0.72 B,$1.25 B,$1.06 B,$2.97 B,$0.84 B,$2.00 B,$4.04 B,$4.04 B,$2.97 B
wells-fargo,,$159.15 B,$234.23 B,$264.61 B,$141.25 B,$173.28 B,$23.36 B,$20.72 B,$19.11 B,$19.57 B,$19.91 B,$21.86 B,$19.44 B,$16.04 B,$27.08 B,$23.76 B,$14.75 B,$15.02 B,$15.39 B,$12.90 B,$16.53 B,$18.17 B,$16.96 B
pfizer,,$22.73 B,$31.06 B,$12.22 B,$9.83 B,$18.83 B,$19.99 B,$17.85 B,$23.29 B,$36.12 B,$32.40 B,$32.70 B,$26.75 B,$28.01 B,$25.96 B,$23.73 B,$25.47 B,$27.71 B,$22.22 B,$19.89 B,$11.95 B,$12.55 B,$8.61 B
danaher,,$5.99 B,$2.58 B,$6.03 B,$19.91 B,$0.78 B,$0.63 B,$0.96 B,$0.79 B,$3.00 B,$3.11 B,$1.67 B,$0.53 B,$1.63 B,$1.72 B,$0.39 B,$0.23 B,$0.31 B,$0.31 B,$0.60 B,$1.23 B,$0.81 B,$0.70 B
hdfc-bank,,$21.09 B,$14.17 B,$9.63 B,$12.32 B,$11.04 B,$8.74 B,$8.00 B,$8.24 B,$9.20 B,$7.76 B,$6.70 B,$6.47 B,$6.64 B,$3.37 B,$3.83 B,$2.16 B,$1.60 B,$0.86 B,$0.76 B,$0.29 B,$0.42 B,$0.32 B
verizon,,$2.60 B,$2.92 B,$22.17 B,$2.59 B,$2.74 B,$2.07 B,$2.88 B,$4.82 B,$11.15 B,$54.12 B,$3.56 B,$13.95 B,$7.21 B,$2.49 B,$10.29 B,$3.39 B,$5.65 B,$3.27 B,$4.54 B,$2.87 B,$3.48 B,$2.97 B
tata-consultancy-services,$5.99 B,$6.38 B,$5.22 B,$4.73 B,$6.04 B,$6.55 B,$7.05 B,$4.32 B,$3.15 B,$2.60 B,$1.41 B,$1.33 B,$1.65 B,$1.05 B,$0.53 B,$0.30 B,$0.32 B,$97.1 M,$62.98 M,,,,
intuit,$3.66 B,$3.28 B,$3.87 B,$7.05 B,$2.74 B,$1.71 B,$0.77 B,$1.08 B,$1.69 B,$1.91 B,$1.66 B,$0.74 B,$1.83 B,$1.62 B,$1.34 B,$0.82 B,$1.30 B,$1.19 B,$0.99 B,$1.01 B,$1.20 B,$1.26 B,$1.65 B
bhp-group,$12.45 B,$17.53 B,$15.47 B,$13.51 B,$15.70 B,$16.07 B,$14.22 B,$10.44 B,$6.83 B,$8.80 B,$6.09 B,$4.78 B,$10.34 B,$12.74 B,$11.59 B,$6.29 B,$2.88 B,$1.58 B,$1.68 B,$1.98 B,$1.76 B,$1.61 B,$0.60 B
totalenergies,,$41.77 B,$33.65 B,$35.89 B,$31.34 B,$31.56 B,$36.57 B,$29.14 B,$29.45 B,$26.01 B,$20.49 B,$22.52 B,$19.08 B,$20.87 B,$16.70 B,$17.41 B,$8.74 B,$8.44 B,$5.11 B,$7.02 B,$7.84 B,$6.80 B,$4.08 B
