Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
wells-fargo,$167.41 B,$157.33 B,$186.44 B,$124.77 B,$222.43 B,$211.10 B,$298.75 B,$276.77 B,$276.80 B,$283.43 B,$238.67 B,$180.00 B,$145.33 B,$163.07 B,$139.77 B,$98.02 B,$99.53 B,$120.09 B,$105.40 B,$105.31 B,$100.49 B,$79.01 B,$73.70 B
pfizer,$162.50 B,$287.62 B,$331.43 B,$204.60 B,$216.82 B,$249.54 B,$215.89 B,$197.10 B,$199.32 B,$195.96 B,$196.00 B,$182.47 B,$166.34 B,$140.29 B,$146.79 B,$119.41 B,$153.67 B,$184.51 B,$171.65 B,$200.94 B,$269.53 B,$188.37 B,$250.13 B
danaher,$160.70 B,$193.21 B,$235.10 B,$157.80 B,$106.74 B,$72.33 B,$64.56 B,$53.84 B,$63.78 B,$60.36 B,$53.89 B,$38.43 B,$32.28 B,$30.96 B,$24.26 B,$18.09 B,$27.92 B,$22.35 B,$17.04 B,$17.73 B,$14.10 B,$10.02 B,$8.64 B
hdfc-bank,$163.28 B,$127.16 B,$110.16 B,$107.70 B,$97.36 B,$82.49 B,$75.52 B,$45.19 B,$40.98 B,$36.23 B,$25.76 B,$29.26 B,$18.71 B,$24.29 B,$15.64 B,$8.72 B,$13.88 B,$7.87 B,$5.25 B,$4.27 B,$2.84 B,$1.25 B,$1.54 B
verizon,$160.80 B,$165.47 B,$218.11 B,$243.11 B,$253.93 B,$232.30 B,$215.92 B,$217.61 B,$188.26 B,$194.36 B,$140.63 B,$123.69 B,$113.58 B,$101.15 B,$98.31 B,$100.60 B,$125.68 B,$108.42 B,$83.23 B,$112.21 B,$97.09 B,$106.39 B,$128.95 B
tata-consultancy-services,$159.20 B,$144.02 B,$185.78 B,$146.88 B,$113.74 B,$101.59 B,$80.71 B,$68.61 B,$71.82 B,$79.06 B,$68.86 B,$44.89 B,$42.86 B,$50.91 B,$31.64 B,$9.73 B,$26.86 B,$27.15 B,,,,,
intuit,$160.65 B,$109.34 B,$182.13 B,$104.09 B,$68.18 B,$51.08 B,$40.33 B,$29.41 B,$25.47 B,$26.32 B,$21.74 B,$17.61 B,$15.63 B,$15.31 B,$9.73 B,$7.61 B,$10.51 B,$10.63 B,$9.43 B,$8.24 B,$10.49 B,$9.62 B,$9.06 B
bhp-group,$158.05 B,$157.01 B,$152.29 B,$165.00 B,$137.78 B,$121.93 B,$122.68 B,$96.48 B,$69.19 B,$127.84 B,$180.33 B,$205.15 B,$186.61 B,$255.71 B,$301.01 B,$118.45 B,$200.45 B,$118.53 B,$101.19 B,$74.39 B,$57.02 B,$34.75 B,$32.25 B
totalenergies,$157.27 B,$156.64 B,$131.65 B,$115.19 B,$143.39 B,$139.49 B,$138.54 B,$123.25 B,$110.08 B,$123.33 B,$139.48 B,$122.06 B,$115.33 B,$123.90 B,$151.42 B,$128.46 B,$185.36 B,$173.30 B,$146.84 B,$133.14 B,$115.24 B,$92.92 B,$93.92 B
hsbc,$151.57 B,$124.44 B,$122.93 B,$105.16 B,$160.17 B,$164.46 B,$206.08 B,$160.31 B,$156.37 B,$182.04 B,$205.67 B,$193.14 B,$136.15 B,$180.54 B,$198.76 B,$135.21 B,$227.25 B,$243.41 B,$208.31 B,$218.30 B,$198.26 B,$119.63 B,$128.19 B
qualcomm,$147.99 B,$123.24 B,$205.72 B,$172.29 B,$100.84 B,$68.86 B,$94.74 B,$96.36 B,$74.72 B,$122.94 B,$125.25 B,$106.15 B,$92.27 B,$80.86 B,$77.43 B,$59.08 B,$64.10 B,$62.54 B,$71.08 B,$69.66 B,$43.28 B,$28.70 B,$38.74 B
