Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
salesforce,$14.08 B,$13.98 B,$6.28 B,$5.86 B,$3.17 B,$2.49 B,$2.70 B,$2.04 B,$2.19 B,$2.50 B,$0.64 B,$0.54 B,$0.49 B,$0.48 B,$12.49 M,,$0.18 M,$0.79 M,$1.28 M,$0.07 M,$0.6 M,,
roche,,$28.73 B,$35.62 B,$17.48 B,$16.08 B,$19.08 B,$19.47 B,$21.94 B,$23.53 B,$26.01 B,$21.01 B,$26.94 B,$28.62 B,$32.16 B,$41.01 B,$3.92 B,$6.06 B,$6.77 B,$7.34 B,$7.85 B,$12.36 B,$25.40 B,$26.97 B
pepsico,,$39.07 B,$40.33 B,$44.15 B,$32.06 B,$32.32 B,$39.28 B,$36.94 B,$33.28 B,$28.89 B,$29.63 B,$28.35 B,$26.77 B,$24.89 B,$7.86 B,$8.22 B,$4.20 B,$2.82 B,$5.20 B,$3.45 B,$2.29 B,$2.74 B,$3.00 B
hermes-international,,$2.07 B,$2.04 B,$2.07 B,$1.27 B,$57.19 M,$64.34 M,$43.16 M,$45.48 M,$50.22 M,$78.16 M,$50.79 M,$50.41 M,$58.39 M,$92.83 M,$0.13 B,$0.12 B,$0.12 B,$77.04 M,$0.12 B,$0.13 B,$0.16 B,$0.18 B
icbc,,$206.84 B,$200.98 B,$194.22 B,$176.52 B,$160.54 B,$156.61 B,$123.56 B,$120.99 B,$114.99 B,$108.26 B,$78.00 B,$72.22 B,$35.87 B,$21.53 B,$13.11 B,$15.50 B,$9.89 B,$9.31 B,$3.86 B,$3.45 B,$7.26 B,
accenture,$3.14 B,$3.32 B,$3.50 B,$3.48 B,$22.65 M,$25.01 M,$25.07 M,$27.23 M,$27.43 M,$26.73 M,$25.6 M,$0.03 M,$4.41 M,$1.58 M,$0.95 M,$8.27 M,$26.36 M,$51.85 M,$75.18 M,$33.87 M,$0.63 B,$66.52 M,$0.19 B
shell,,$83.79 B,$89.08 B,$108.01 B,$96.42 B,$76.82 B,$85.66 B,$92.47 B,$58.37 B,$45.54 B,$44.56 B,$37.75 B,$37.17 B,$44.33 B,$35.03 B,$23.26 B,$18.09 B,$15.77 B,$12.91 B,$14.59 B,$20.12 B,$19.69 B,$5.82 B
mcdonald,,$48.03 B,$48.64 B,$48.51 B,$46.87 B,$31.07 B,$29.53 B,$25.95 B,$24.12 B,$14.98 B,$14.12 B,$13.63 B,$12.50 B,$11.50 B,$10.57 B,$10.21 B,$9.30 B,$8.43 B,$10.14 B,$9.21 B,$9.73 B,$9.97 B,$8.91 B
amd,,$2.86 B,$0.66 B,$0.53 B,$0.68 B,$1.25 B,$1.39 B,$1.43 B,$2.26 B,$2.21 B,$2.05 B,$2.04 B,$2.01 B,$2.19 B,$4.73 B,$4.98 B,$5.26 B,$3.79 B,$1.37 B,$1.85 B,$2.09 B,$1.94 B,$1.00 B
reliance-industries,$40.81 B,$37.18 B,$35.41 B,$45.75 B,$41.40 B,$33.60 B,$30.34 B,$27.28 B,$25.73 B,$23.18 B,$19.75 B,$16.24 B,$18.85 B,$14.42 B,$15.01 B,$12.70 B,$7.79 B,$5.24 B,$4.31 B,,,,
novartis,,$27.96 B,$31.09 B,$38.04 B,$29.33 B,$32.09 B,$28.53 B,$23.80 B,$21.93 B,$20.41 B,$18.01 B,$19.72 B,$20.19 B,$22.94 B,$13.90 B,$7.03 B,$5.59 B,$7.21 B,$8.20 B,$6.55 B,$5.47 B,$5.58 B,$4.56 B
netflix,,$14.35 B,$15.39 B,$16.30 B,$14.75 B,$10.36 B,$6.49 B,$3.36 B,$2.37 B,$0.90 B,$0.50 B,$0.40 B,$0.40 B,$0.23 B,$0.23 B,$39.14 M,,,,$0.06 M,$0.46 M,$1.69 M,$6.86 M
astrazeneca,,$29.23 B,$30.78 B,$20.38 B,$18.22 B,$19.11 B,$17.80 B,$16.80 B,$15.05 B,$10.84 B,$10.37 B,$10.31 B,$9.32 B,$9.59 B,$11.30 B,$11.84 B,$15.15 B,$1.22 B,$1.20 B,$1.26 B,$0.45 B,$0.84 B,$1.36 B
cisco,$8.39 B,$9.51 B,$11.52 B,$14.58 B,$24.66 B,$25.56 B,$33.71 B,$28.64 B,$25.35 B,$20.90 B,$16.21 B,$16.32 B,$16.82 B,$15.28 B,$10.29 B,$6.89 B,$6.40 B,$6.33 B,,,,,
linde,,$17.91 B,$14.20 B,$16.15 B,$13.95 B,$15.29 B,$9.00 B,$9.51 B,$9.23 B,$9.25 B,$8.81 B,$7.36 B,$6.56 B,$5.55 B,$5.05 B,$5.02 B,$4.19 B,$3.16 B,$3.44 B,$3.52 B,$2.81 B,$2.74 B,$2.98 B
thermo-fisher-scientific,,$34.48 B,$34.87 B,$21.73 B,$17.75 B,$18.99 B,$21.00 B,$16.62 B,$12.52 B,$14.56 B,$10.48 B,$7.12 B,$7.02 B,$0.10 B,$2.18 B,$2.05 B,$2.19 B,$2.66 B,$0.59 B,$0.24 B,$0.27 B,$0.93 B,$1.25 B
sap,,$15.39 B,$17.15 B,$19.62 B,$18.14 B,$12.93 B,$7.91 B,$8.73 B,$10.05 B,$14.03 B,$5.89 B,$6.94 B,$5.51 B,$66.5 M,$0.21 B,$3.64 B,$40.05 M,$34.59 M,$36.87 M,$47.52 M,$39.65 M,$36.61 M,
alibaba,$23.48 B,$22.27 B,$22.69 B,$17.66 B,$20.01 B,$19.98 B,$13.31 B,$8.94 B,$8.48 B,$6.62 B,$4.48 B,$0.20 B,$0.20 B,$14.02 M,,,,,,,,,
pinduoduo,,$2.45 B,$2.00 B,$2.60 B,$0.95 B,,,,,,,,,,,,,,,,,,
abbott-laboratories,,$17.71 B,$19.00 B,$19.64 B,$18.89 B,$19.56 B,$27.92 B,$22.00 B,$9.00 B,$7.84 B,$6.56 B,$20.47 B,$15.41 B,$18.91 B,$16.45 B,$11.44 B,$12.21 B,$12.41 B,$6.63 B,$6.78 B,$5.98 B,$6.42 B,$7.28 B
t-mobile-us,,$107.85 B,$106.01 B,$104.21 B,$26.11 B,$12.96 B,$13.73 B,$22.18 B,$20.66 B,$18.88 B,$17.08 B,$4.76 B,$4.74 B,$3.77 B,$3.64 B,$3.07 B,$3.00 B,$2.59 B,$0.90 B,,$0.19 B,$51.64 M,
intel,,$42.05 B,$38.10 B,$36.40 B,$29.00 B,$26.35 B,$26.81 B,$25.28 B,$22.67 B,$13.71 B,$13.44 B,$13.44 B,$7.33 B,$2.11 B,$2.22 B,$2.72 B,$2.12 B,$2.02 B,$2.41 B,$0.90 B,$1.16 B,$1.36 B,$1.45 B
nike,$12.14 B,$12.62 B,$12.81 B,$13.01 B,$3.47 B,$3.81 B,$3.80 B,$2.05 B,$1.26 B,$1.37 B,$1.38 B,$0.38 B,$0.66 B,$0.59 B,$0.81 B,$0.62 B,$0.54 B,$0.70 B,$0.76 B,$0.83 B,$0.83 B,$1.10 B,$1.29 B
china-mobile,,$16.33 B,$8.94 B,$10.21 B,$10.63 B,,$N/A,$0.71 B,$0.77 B,$0.81 B,$0.83 B,$4.60 B,$4.56 B,$5.09 B,$4.92 B,$4.93 B,$4.61 B,$4.69 B,$4.53 B,$2.57 B,$3.93 B,$5.38 B,$3.36 B
agricultural-bank-of-china,,$319.44 B,$282.28 B,$270.23 B,$205.21 B,$160.85 B,$116.06 B,$99.40 B,$107.77 B,$88.83 B,$72.80 B,$54.91 B,$36.33 B,$18.00 B,$11.93 B,$5.76 B,$4.73 B,$3.35 B,$2.75 B,$3.02 B,,,
walt-disney,$46.43 B,$48.36 B,$54.40 B,$58.62 B,$46.98 B,$20.87 B,$25.29 B,$20.17 B,$17.33 B,$14.84 B,$14.28 B,$14.31 B,$13.97 B,$12.48 B,$12.70 B,$14.63 B,$15.44 B,$13.52 B,$12.46 B,$13.82 B,$13.10 B,$14.13 B,$9.76 B
petro-china,,$67.35 B,$73.80 B,$76.37 B,$91.36 B,$59.20 B,$71.51 B,$74.34 B,$83.42 B,$87.11 B,$81.89 B,$71.37 B,$61.58 B,$44.45 B,$34.30 B,$18.43 B,$9.82 B,$9.12 B,$9.08 B,$7.95 B,$8.57 B,$9.81 B,$9.60 B
comcast,,$94.81 B,$94.85 B,$103.76 B,$102.21 B,$111.74 B,$64.55 B,$61.04 B,$52.62 B,$48.23 B,$47.84 B,$40.45 B,$39.30 B,$31.41 B,$29.09 B,$32.45 B,$31.32 B,$28.97 B,$23.37 B,$23.59 B,$26.99 B,$34.91 B,$13.89 B
wells-fargo,,$226.01 B,$195.09 B,$271.94 B,$332.70 B,$334.83 B,$239.59 B,$351.85 B,$297.06 B,$247.46 B,$206.88 B,$184.55 B,$174.44 B,$212.38 B,$242.82 B,$375.23 B,$129.82 B,$88.26 B,$103.56 B,$95.54 B,$88.30 B,$83.65 B,$76.31 B
