Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
linde,$32.45 B,$33.36 B,$30.79 B,$27.24 B,$28.22 B,$14.90 B,$11.43 B,$10.53 B,$10.77 B,$12.27 B,$11.92 B,$11.22 B,$11.25 B,$10.11 B,$8.95 B,$10.79 B,$9.40 B,$8.32 B,$7.65 B,$6.59 B,$5.61 B,$5.12 B,$5.15 B
thermo-fisher-scientific,$43.42 B,$44.91 B,$39.21 B,$32.21 B,$25.54 B,$24.35 B,$20.91 B,$18.27 B,$16.96 B,$16.88 B,$13.09 B,$12.55 B,$11.72 B,$10.78 B,$10.10 B,$10.49 B,$9.74 B,$3.79 B,$2.63 B,$2.26 B,$2.09 B,$2.08 B,$2.18 B
sap,$33.54 B,$32.49 B,$32.36 B,$31.72 B,$30.81 B,$28.96 B,$27.03 B,$24.29 B,$22.99 B,$22.78 B,$22.41 B,$21.11 B,$19.51 B,$16.41 B,$15.03 B,$17.15 B,$14.38 B,$12.00 B,$10.34 B,$9.54 B,$8.35 B,$8.04 B,$7.64 B
alibaba,$129.89 B,$127.83 B,$129.44 B,$94.46 B,$70.49 B,$51.52 B,$34.03 B,$21.40 B,$14.89 B,$11.44 B,,,,,,,,,,,,,
pinduoduo,$28.07 B,$19.19 B,$14.53 B,$8.79 B,$4.33 B,$1.94 B,$0.26 B,,,,,,,,,,,,,,,,
abbott-laboratories,$39.95 B,$43.65 B,$43.07 B,$34.60 B,$31.90 B,$30.57 B,$27.39 B,$20.85 B,$20.40 B,$21.25 B,$21.84 B,$39.87 B,$38.85 B,$35.16 B,$30.76 B,$29.52 B,$25.25 B,$22.47 B,$22.33 B,$20.25 B,$19.68 B,$17.68 B,$16.28 B
t-mobile-us,$78.35 B,$79.57 B,$80.11 B,$68.39 B,$44.99 B,$43.31 B,$40.60 B,$37.24 B,$32.05 B,$29.56 B,$21.03 B,$5.10 B,$4.84 B,$4.06 B,$3.48 B,$2.75 B,$2.23 B,$1.54 B,$1.03 B,,,,
intel,$52.86 B,$63.05 B,$79.02 B,$77.86 B,$71.96 B,$70.84 B,$62.76 B,$59.38 B,$55.35 B,$55.87 B,$52.70 B,$53.34 B,$66.84 B,$43.62 B,$35.12 B,$37.58 B,$38.33 B,$35.38 B,$38.82 B,$34.20 B,$30.14 B,$26.76 B,$26.53 B
nike,$51.46 B,$49.10 B,$46.30 B,$38.25 B,$40.78 B,$38.09 B,$34.73 B,$33.51 B,$31.33 B,$29.75 B,$26.28 B,$24.94 B,$22.65 B,$19.82 B,$18.35 B,$19.65 B,$17.30 B,$15.63 B,$14.36 B,$13.10 B,$11.24 B,$10.25 B,$9.60 B
china-mobile,$140.27 B,$138.85 B,$131.15 B,$47.47 B,$37.52 B,$29.62 B,$23.27 B,$18.61 B,$15.54 B,$12.12 B,,,,,,,,,,,,,
