Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
pfizer,,$95.91 B,$77.46 B,$63.47 B,$63.44 B,$63.75 B,$71.65 B,$59.84 B,$64.99 B,$71.62 B,$76.62 B,$81.67 B,$82.62 B,$88.26 B,$90.44 B,$57.74 B,$65.12 B,$71.35 B,$65.62 B,$68.27 B,$65.37 B,$19.95 B,$18.29 B
danaher,,$50.09 B,$45.17 B,$39.77 B,$30.28 B,$28.22 B,$26.36 B,$23.07 B,$23.76 B,$23.44 B,$22.45 B,$19.08 B,$16.97 B,$13.77 B,$11.63 B,$9.80 B,$9.08 B,$6.64 B,$5.08 B,$4.61 B,$3.64 B,$3.00 B,$2.22 B
hdfc-bank,$35.53 B,$33.09 B,$28.65 B,$22.67 B,$23.55 B,$16.88 B,$14.21 B,$10.95 B,$10.12 B,$7.26 B,$6.67 B,$7.79 B,$7.79 B,$6.84 B,$4.92 B,$2.99 B,$1.52 B,$1.24 B,$1.13 B,$0.72 B,$0.31 B,$0.26 B,$0.12 B
verizon,,$92.46 B,$83.20 B,$69.27 B,$62.83 B,$54.71 B,$44.68 B,$24.03 B,$17.84 B,$13.67 B,$95.41 B,$85.53 B,$85.90 B,$86.91 B,$84.36 B,$78.90 B,$82.86 B,$76.87 B,$66.43 B,$62.61 B,$57.81 B,$56.75 B,$54.68 B
tata-consultancy-services,$11.10 B,$11.84 B,$11.86 B,$11.23 B,$12.94 B,$13.13 B,$13.36 B,$9.92 B,$8.28 B,$8.33 B,$7.24 B,$5.92 B,$5.59 B,$4.20 B,$3.14 B,$3.13 B,$2.09 B,$1.38 B,$0.81 B,,,,
intuit,$17.26 B,$16.44 B,$9.86 B,$5.10 B,$3.74 B,$2.35 B,$1.35 B,$1.16 B,$2.33 B,$3.06 B,$3.53 B,$2.74 B,$2.61 B,$2.82 B,$2.55 B,$2.07 B,$2.03 B,$1.73 B,$1.69 B,$1.82 B,$1.96 B,$2.21 B,$2.16 B
bhp-group,$48.53 B,$48.76 B,$55.60 B,$52.24 B,$51.82 B,$60.67 B,$62.72 B,$60.07 B,$70.54 B,$85.38 B,$72.03 B,$67.08 B,$57.75 B,$49.32 B,$40.71 B,$39.04 B,$29.91 B,$24.45 B,$22.00 B,$19.15 B,$17.16 B,$12.68 B,$5.73 B
totalenergies,,$114.57 B,$114.99 B,$106.08 B,$119.30 B,$118.11 B,$114.03 B,$101.57 B,$95.40 B,$93.53 B,$103.44 B,$98.12 B,$89.93 B,$81.48 B,$76.70 B,$69.53 B,$66.73 B,$54.30 B,$49.09 B,$43.19 B,$39.06 B,$34.52 B,$31.04 B
hsbc,,$196.02 B,$206.77 B,$204.99 B,$192.66 B,$194.24 B,$197.87 B,$182.57 B,$197.51 B,$199.97 B,$190.45 B,$183.12 B,$166.09 B,$154.91 B,$135.66 B,$100.22 B,$135.41 B,$114.92 B,$98.22 B,$99.19 B,$N/A,$N/A,$N/A
qualcomm,$21.58 B,$18.01 B,$9.95 B,$6.07 B,$4.90 B,$0.92 B,$30.74 B,$31.76 B,$31.41 B,$39.16 B,$36.08 B,$33.54 B,$26.97 B,$20.85 B,$20.31 B,$17.94 B,$15.83 B,$13.40 B,$11.11 B,$9.66 B,$7.59 B,$5.43 B,$4.89 B
ibm,,$22.02 B,$18.99 B,$20.72 B,$20.98 B,$16.93 B,$17.72 B,$18.39 B,$14.42 B,$12.01 B,$22.92 B,$18.98 B,$20.23 B,$23.17 B,$22.75 B,$13.46 B,$28.47 B,$28.50 B,$33.09 B,$29.74 B,$27.86 B,$22.78 B,$23.61 B
